run_idx,concept_id,beta0,beta1,beta2,euler,topo_dimension,persistence_entropy,complexity_score,novelty_semantic,novelty_heuristic,novelty_aesthetic,novelty_embedding,novelty_aggregate,aian_pass,icvp_n_approve,icvp_required,icvp_mean_et,icvp_mean_ap,target_freq_hz,target_wl_nm,torus_p,torus_q,charge_error_pct,mean_b_mt,prime1,w1,prime2,w2,prime3,w3,prime4,w4,prime5,w5,cli_mean,cli_std,cli_min,cli_max,iis_initial,iis_final,bhi,sdr,sdr_confidence,wall_time_s
1,9ea878f9,7,3,0,4,2,3.31588,13.44512,1.0,0.4367,0.3295,0.7747,0.635,1,5,4,0.573,0.0124,23.125,604.62,7,3,50.5,1.5109,FAR,0.8157,ABOVE,0.5784,SOME,0.3075,BEFORE,0.1209,,0.0,0.0985,0.0368,0.0212,0.147,0.5,0.4631,0.9168,0.387371,0.6446,9.3
2,e573a3ae,7,2,0,5,2,2.75282,11.46799,1.0,0.4918,0.3149,0.7777,0.647,1,5,4,0.6145,0.0059,17.857,604.62,7,2,41.07,1.125,FAR,0.8082,SIDE,0.6335,ABOVE,0.5889,SOME,0.4063,NOW,0.2806,0.1401,0.0033,0.1364,0.1504,0.5,0.3597,0.96,0.323786,0.8007,8.86
3,9955b3cf,6,3,0,3,2,3.03843,12.45567,1.0,0.4618,0.3175,0.7647,0.6348,1,5,4,0.6067,0.0175,23.125,595.0,6,3,50.5,1.5109,FAR,0.8157,ABOVE,0.5784,SOME,0.3075,BEFORE,0.1209,,0.0,0.1517,0.0026,0.1467,0.1566,0.5,0.3569,0.9742,0.401192,0.6579,9.49
4,ff7e6940,4,5,0,-1,2,3.38179,14.52703,0.8718,0.4544,0.2683,0.7655,0.6042,1,5,4,0.61,0.0089,30.5,570.0,4,5,58.75,0.7358,BELOW,0.8185,SOME,0.5011,NEAR,0.4254,AFTER,0.3103,,0.0,0.149,0.0049,0.1398,0.1595,0.5,0.3524,0.9759,0.423638,0.6342,10.36
5,ecae73d4,6,3,0,3,2,3.3718,12.5017,1.0,0.4919,0.2521,0.7647,0.6293,1,5,4,0.5961,0.0101,23.125,595.0,6,3,50.5,1.5109,FAR,0.8157,ABOVE,0.5784,SOME,0.3075,BEFORE,0.1209,,0.0,0.154,0.0036,0.1467,0.1597,0.5,0.3589,0.9787,0.400938,0.6576,8.12
6,e7ccd830,4,4,0,0,2,3.30283,12.56147,0.7483,0.4206,0.3396,0.7874,0.6003,1,5,4,0.5915,0.0104,27.222,570.0,4,4,57.34,0.871,FAR,0.7413,MUCH/MANY,0.7048,BIG,0.7048,VERY,0.7048,ABOVE,0.6712,0.1496,0.0069,0.1416,0.1645,0.5,0.3484,0.973,0.471799,0.6865,7.77
7,5d263f7c,4,5,0,-1,2,3.1286,14.54861,0.8718,0.4986,0.2298,0.7655,0.6076,1,5,4,0.6178,0.0,30.5,570.0,4,5,58.75,0.7358,BELOW,0.8185,SOME,0.5011,NEAR,0.4254,AFTER,0.3103,,0.0,0.1535,0.0031,0.1488,0.1615,0.5,0.3508,0.9787,0.423992,0.6345,10.35
8,122c6d66,7,2,0,5,2,3.10407,11.45858,1.0,0.4026,0.3183,0.7777,0.6254,1,5,4,0.6014,0.0152,17.857,604.62,7,2,41.07,1.125,FAR,0.8082,SIDE,0.6335,ABOVE,0.5889,SOME,0.4063,NOW,0.2806,0.1652,0.0039,0.1543,0.1697,0.5,0.3463,0.9783,0.32601,0.803,8.64
9,79f2d0d4,6,3,0,3,2,2.97475,12.53926,1.0,0.453,0.268,0.7647,0.6227,1,5,4,0.6129,0.0204,23.125,595.0,6,3,50.5,1.5109,FAR,0.8157,ABOVE,0.5784,SOME,0.3075,BEFORE,0.1209,,0.0,0.1587,0.0046,0.1524,0.1685,0.5,0.3452,0.9776,0.402698,0.6593,9.15
10,b33f2fbe,5,3,0,2,2,3.42503,11.43105,0.8485,0.4567,0.2565,0.7758,0.6031,1,5,4,0.5996,0.0174,23.125,583.64,5,3,50.5,1.5109,FAR,0.8157,ABOVE,0.5784,SOME,0.3075,BEFORE,0.1209,,0.0,0.1632,0.0039,0.1544,0.1707,0.5,0.3435,0.983,0.402919,0.6595,8.87
