cell,novelty_threshold,weights_name,head_weights,n_collected,n_target,attempts,pass_rate,mean_novelty,mean_beta1,mean_complexity,mean_bhi,mean_cli,mean_sdr
t50_baseline,0.5,baseline,0.15|0.25|0.2|0.4,8,8,8,1.0,0.5754,4,13.5653,0.9669,0.1452,0.3941
t50_embed_heavy,0.5,embed_heavy,0.1|0.15|0.15|0.6,8,8,8,1.0,0.6388,4,13.5653,0.9669,0.1452,0.3941
t50_balanced,0.5,balanced,0.25|0.25|0.25|0.25,8,8,8,1.0,0.5465,4,13.5653,0.9669,0.1452,0.3941
t50_shape_heavy,0.5,shape_heavy,0.15|0.35|0.35|0.15,8,8,9,0.8889,0.5215,2.625,12.2396,0.9669,0.1452,0.3122
t60_baseline,0.6,baseline,0.15|0.25|0.2|0.4,8,8,8,1.0,0.619,2.625,12.3552,0.9669,0.1452,0.3145
t60_embed_heavy,0.6,embed_heavy,0.1|0.15|0.15|0.6,8,8,8,1.0,0.6388,4,13.5653,0.9669,0.1452,0.3941
t60_balanced,0.6,balanced,0.25|0.25|0.25|0.25,8,8,8,1.0,0.6239,2.125,11.9687,0.9669,0.1452,0.261
t60_shape_heavy,0.6,shape_heavy,0.15|0.35|0.35|0.15,3,8,64,0.0469,0.6346,1.3333,10.4607,0.9503,0.1301,0.1095
t70_baseline,0.7,baseline,0.15|0.25|0.2|0.4,2,8,64,0.0312,0.7073,1.5,10.9713,0.9384,0.1193,0.1628
t70_embed_heavy,0.7,embed_heavy,0.1|0.15|0.15|0.6,3,8,64,0.0469,0.7218,1.3333,10.4607,0.9503,0.1301,0.1095
t70_balanced,0.7,balanced,0.25|0.25|0.25|0.25,2,8,64,0.0312,0.7152,1.5,10.9713,0.9384,0.1193,0.1628
t70_shape_heavy,0.7,shape_heavy,0.15|0.35|0.35|0.15,0,8,64,0.0,,,,,,
